title,uploader,episode_day,url,frame_namefile,words
La Ghigliottina - L'EreditÃ  19/11/2024',Rai,19/11/2024,https://www.youtube.com/watch?v=Yq5jddSisew,19-11-2024.jpg,"GIORNO,PASSARE,LIBRO,GIOCHI,REALTA,23.125"
La Ghigliottina - L'EreditÃ  18/11/2024',Rai,18/11/2024,https://www.youtube.com/watch?v=ktmE00afoCM,18-11-2024.jpg,"METTERE,PONTEGGIO,ROMANA,ORO,FARMACISTA,47.500"
La Ghigliottina - L'EreditÃ  17/11/2024',Rai,17/11/2024,https://www.youtube.com/watch?v=kBxDD0Ay3cg,17-11-2024.jpg,"APERTO,MINUTo,COMUNE,TORO,LAVORO,37.500"
La Ghigliottina - L'EreditÃ  16/11/2024',Rai,16/11/2024,https://www.youtube.com/watch?v=NhXTlWDAXI8,16-11-2024.jpg,"PIEDE,SGUARDO,DIRETTO,APRIRE,TIRO,160.000"
La Ghigliottina - L'EreditÃ  15/11/2024',Rai,15/11/2024,https://www.youtube.com/watch?v=0s-U6TXMkVA,15-11-2024.jpg,"GRUPPO,CARTA,COPPIA,PIU GRANDE,IDEA,45.000"
La Ghigliottina - L'EreditÃ  14/11/2024',Rai,14/11/2024,https://www.youtube.com/watch?v=j-CI9elME2w,14-11-2024.jpg,"TERRA,FUOCO,LATINO,CAPODANNO,SCENA,46.250"
La Ghigliottina - L'EreditÃ  13/11/2024',Rai,13/11/2024,https://www.youtube.com/watch?v=6X6rDBH0xU4,13-11-2024.jpg,"FORESTA,VENTO,NAZIONALE,IMMAGINI,FARI,18.125"
La Ghigliottina - L'EreditÃ  12/11/2024',Rai,12/11/2024,https://www.youtube.com/watch?v=bsq1oPike78,12-11-2024.jpg,"MEGLIO,GIOCHI,BRUCIATA,ISOLA,PECCATO,47.500"
La Ghigliottina - L'EreditÃ  11/11/2024',Rai,11/11/2024,https://www.youtube.com/watch?v=zklGS4JBr-Y,11-11-2024.jpg,"CONFERMA,APPARIZIONE,NATURALE,FILA,BATTUTA,22.500"
La Ghigliottina - L'EreditÃ  10/11/2024',Rai,10/11/2024,https://www.youtube.com/watch?v=Jb6I99AJ6Y8,10-11-2024.jpg,"SPAZIO,SCOPO,CATTOLICA,IMPOSSIBILE,COMPIERE,77.500"
La Ghigliottina - L'EreditÃ  09/11/2024',Rai,09/11/2024,https://www.youtube.com/watch?v=Poius8_Za_s,09-11-2024.jpg,"PIZZA,BABY,CERA,RISO,OMBRA,50.000"
La Ghigliottina - L'EreditÃ  08/11/2024',Rai,08/11/2024,https://www.youtube.com/watch?v=tqxyhUy_jyQ,08-11-2024.jpg,"CARATTERE,MADRE,PROVA,QUATTRO STELLE,UDIENZA,12.500"
La Ghigliottina - L'EreditÃ  07/11/2024',Rai,07/11/2024,https://www.youtube.com/watch?v=3sWyeERif2c,07-11-2024.jpg,"BRUTTO,COSTUME,ANNI,PIU,QUATTRO,40.Uuu"
La Ghigliottina - L'EreditÃ  06/11/2024',Rai,06/11/2024,https://www.youtube.com/watch?v=o2gr07wC4XU,06-11-2024.jpg,"SALTARE,FUORI,PAROLE,MIKE,CONSEGNE,87.500"
La Ghigliottina - L'EreditÃ  05/11/2024',Rai,05/11/2024,https://www.youtube.com/watch?v=IIvECJOikKY,05-11-2024.jpg,"METTERE,RICERCA,FOTO,PARROCCHIALE,RAI,25.000"
La Ghigliottina - L'EreditÃ  04/11/2024',Rai,04/11/2024,https://www.youtube.com/watch?v=t4qffSSgJzk,04-11-2024.jpg,"LATINO,OPERA,TEMPO,LEGGENDA,BACIO,90.0uu"
La Ghigliottina - L'EreditÃ  03/11/2024',Rai,03/11/2024,https://www.youtube.com/watch?v=0WNGDSVRD00,03-11-2024.jpg,"GiOco,FUTURO,PRESA,PRIMA,NOTTURNA,21.250"
La Ghigliottina - L'EreditÃ  02/06/2024',Rai,02/06/2024,https://www.youtube.com/watch?v=taAx6qVv1uQ,02-06-2024.jpg,"FIGURA,CORRENTE,CONTA,RIVOLGERE,GRAZIE,20.000"
La Ghigliottina - L'EreditÃ  01/06/2024',Rai,01/06/2024,https://www.youtube.com/watch?v=ZO6bLC2QZS8,01-06-2024.jpg,"PERSONA,PROSSIMO,PROVA,MEDICO,INIEZIONE,4.063"
La Ghigliottina - L'EreditÃ  31/05/2024',Rai,31/05/2024,https://www.youtube.com/watch?v=46Txpi16fis,31-05-2024.jpg,"PIANTA,PIEDE,oCCHI,NASO,SPIRITO,42.500"
La Ghigliottina - L'EreditÃ  30/05/2024',Rai,30/05/2024,https://www.youtube.com/watch?v=SurgqKmReeg,30-05-2024.jpg,"FARE,ALTA,TAVOLINO,BIANCO,BIANCA,26.250"
La Ghigliottina - L'EreditÃ  29/05/2024',Rai,29/05/2024,https://www.youtube.com/watch?v=IVfML1fkZu8,29-05-2024.jpg,"CORRIDOIO,DESTRA,TENDE,MUSEO,TELEFONO,11.250"
La Ghigliottina - L'EreditÃ  28/05/2024',Rai,28/05/2024,https://www.youtube.com/watch?v=B-2gdvq2hOk,28-05-2024.jpg,"METTERE,FUORI,FORTE,ONORE,PRINCIPE,85.000"
La Ghigliottina - L'EreditÃ  27/05/2024',Rai,27/05/2024,https://www.youtube.com/watch?v=TnjJa02WfDQ,27-05-2024.jpg,"GIRO D'ITALIA,COLORI,SEXY,LA DOLCE VITA,LaSCiA 0 RADDOPPIA,10.625"
La Ghigliottina - L'EreditÃ  26/05/2024',Rai,26/05/2024,https://www.youtube.com/watch?v=jJcXsQ7wOLI,26-05-2024.jpg,"PENNA,DOLORE,ROSSO,MAGICO,FUNGO,23.750"
La Ghigliottina - L'EreditÃ  25/05/2024',Rai,25/05/2024,https://www.youtube.com/watch?v=VwauEWgsPrw,25-05-2024.jpg,"BAMBINO,MANDARE,CIBO,VIVO,CALCOLO,18.750"
La Ghigliottina - L'EreditÃ  24/05/2024',Rai,24/05/2024,https://www.youtube.com/watch?v=sO_vsf4zgnc,24-05-2024.jpg,"GUARDARE,PRINCIPALE,CENTRO,PERSONALE,OGGETTO,42.500"
La Ghigliottina - L'EreditÃ  23/05/2024',Rai,23/05/2024,https://www.youtube.com/watch?v=RBHxrkjDnRE,23-05-2024.jpg,"PARTITA,MERCATO,MONDO,MACCHINA,VATICANO,180.000"
La Ghigliottina - L'EreditÃ  22/05/2024',Rai,22/05/2024,https://www.youtube.com/watch?v=Y2HlJTTC1fc,22-05-2024.jpg,"ESSERE,SOTTO,BORSELLO,SOLA,VIOLA,11.250"
La Ghigliottina - L'EreditÃ  21/05/2024',Rai,21/05/2024,https://www.youtube.com/watch?v=OrWhLg5XVL4,21-05-2024.jpg,"FARE,PRIMA,RUBARE,PIEGA,SORPRESA,10.000"
La Ghigliottina - L'EreditÃ  20/05/2024',Rai,20/05/2024,https://www.youtube.com/watch?v=I2cJMrDgQII,20-05-2024.jpg,"TESTA,FINE,PRODUZIONE,MODELLO,PILOTA,75.000"
La Ghigliottina - L'EreditÃ  19/05/2024',Rai,19/05/2024,https://www.youtube.com/watch?v=YVOvivOA6es,19-05-2024.jpg,"ACQUA,VENTO,IMBROGLIONI,PIPISTRELLO,ATTRAVERSAMENTO,23.750"
La Ghigliottina - L'EreditÃ  18/05/2024',Rai,18/05/2024,https://www.youtube.com/watch?v=BH3auDjA3n0,18-05-2024.jpg,"SALTARE,BELLA,VITA,TENNIS,ORA,40.000"
La Ghigliottina - L'EreditÃ  17/05/2024',Rai,17/05/2024,https://www.youtube.com/watch?v=90ELEZ3PQ6g,17-05-2024.jpg,"VIA,SUPERIORE,GIGANTE,SENSIBILE,LEONE,45.000"
La Ghigliottina - L'EreditÃ  16/05/2024',Rai,16/05/2024,https://www.youtube.com/watch?v=NaO0wWAVGqA,16-05-2024.jpg,"COMUNE,VALLE,ROTOLI,RUSTICO,STADIO,21.250"
La Ghigliottina - L'EreditÃ  15/05/2024',Rai,15/05/2024,https://www.youtube.com/watch?v=ltcGTtjtLX4,15-05-2024.jpg,"TUTTO,NIENTE,MONDO,DISPOSIZIONE,SCOMPARE,20.000"
La Ghigliottina - L'EreditÃ  14/05/2024',Rai,14/05/2024,https://www.youtube.com/watch?v=uhYYb75HqQg,14-05-2024.jpg,"GENERALE,CALCIO,INQUADRATURA,NUMERO,TEATRO,21.250"
La Ghigliottina - L'EreditÃ  13/05/2024',Rai,13/05/2024,https://www.youtube.com/watch?v=4MRz6hnJu78,13-05-2024.jpg,"PAPA,LANCIO,FORTE,CIOCCOLATO,CORSO,90.000"
La Ghigliottina - L'EreditÃ  12/05/2024',Rai,12/05/2024,https://www.youtube.com/watch?v=-ZL_gqzrG1s,12-05-2024.jpg,"ANDARE,CASA,CAMPO,GRUPPO,LIBERA,47.500"
La Ghigliottina - L'EreditÃ  11/05/2024',Rai,11/05/2024,https://www.youtube.com/watch?v=m5K-GHf0XoI,11-05-2024.jpg,"INGRESSO,MONTAGNA,AUDIO,CODICE,SOLE,42.500"
La Ghigliottina - L'EreditÃ  10/05/2024',Rai,10/05/2024,https://www.youtube.com/watch?v=kInki2QwP-w,10-05-2024.jpg,"MATITA,CORPO,FESTA,LATINA,ROMPERE,37.500"
La Ghigliottina - L'EreditÃ  09/05/2024',Rai,09/05/2024,https://www.youtube.com/watch?v=-auHHsp45Zk,09-05-2024.jpg,"TEATRO,PIOGGIA,ZONA,CAMBIO,DOPPIO ZERO,42.500"
