title,uploader,episode_day,url,frame_namefile,words,result,clue,explanation,solution
La Ghigliottina - L'EreditÃ  19/11/2024',Rai,19/11/2024,https://www.youtube.com/watch?v=Yq5jddSisew,19-11-2024.jpg,"GIORNO,PASSARE,LIBRO,GIOCHI,REALTA,23.125","```json
{
  ""clue"": [""GIORNO"", ""PASSARE"", ""LIBRO"", ""GIOCHI"", ""REALTA""],
  ""explanation"": [
    ""fatti del giorno (quelli raccontati nei programmi di attualità)"",
    ""passare alle parole ai fatti (prendere una decisione e metterla in pratica)"",
    ""libro dei fatti (riferimento al libro che racconta determinati avvenimenti, come il Guinness World Record)"",
    ""a giochi fatti (nel momento in cui si è scritto)"",
    ""realtà dei fatti (perché è una persona concreta che guarda alla realtà dei fatti)""
  ],
  ""solution"": ""FATTI""
}
```","['GIORNO', 'PASSARE', 'LIBRO', 'GIOCHI', 'REALTA']","['fatti del giorno (quelli raccontati nei programmi di attualità)', 'passare alle parole ai fatti (prendere una decisione e metterla in pratica)', 'libro dei fatti (riferimento al libro che racconta determinati avvenimenti, come il Guinness World Record)', 'a giochi fatti (nel momento in cui si è scritto)', 'realtà dei fatti (perché è una persona concreta che guarda alla realtà dei fatti)']",FATTI
La Ghigliottina - L'EreditÃ  18/11/2024',Rai,18/11/2024,https://www.youtube.com/watch?v=ktmE00afoCM,18-11-2024.jpg,"METTERE,PONTEGGIO,ROMANA,ORO,FARMACISTA,47.500","```json
{
  ""clue"": [
    ""METTERE"",
    ""PONTEGGIO"",
    ""ROMANA"",
    ""ORO"",
    ""FARMACISTA""
  ],
  ""explanation"": [
    ""Mettere sulla bilancia."",
    ""Il ponteggio (o bilancia) per gli operai che puliscono i vetri dei grattacieli."",
    ""La bilancia Romana è uno strumento di misurazione (quella col gancio usata dai fruttivendoli)."",
    ""La bilancia per l'oro (del comproro/gioielliere)."",
    ""Il farmacista usa la bilancia (per le preparazioni galeniche e per essere precisi).""
  ],
  ""solution"": ""BILANCIA""
}
```","['METTERE', 'PONTEGGIO', 'ROMANA', 'ORO', 'FARMACISTA']","['Mettere sulla bilancia.', 'Il ponteggio (o bilancia) per gli operai che puliscono i vetri dei grattacieli.', 'La bilancia Romana è uno strumento di misurazione (quella col gancio usata dai fruttivendoli).', ""La bilancia per l'oro (del comproro/gioielliere)."", 'Il farmacista usa la bilancia (per le preparazioni galeniche e per essere precisi).']",BILANCIA
La Ghigliottina - L'EreditÃ  17/11/2024',Rai,17/11/2024,https://www.youtube.com/watch?v=kBxDD0Ay3cg,17-11-2024.jpg,"APERTO,MINUTo,COMUNE,TORO,LAVORO,37.500","```json
{
  ""clue"": [
    ""APERTO"",
    ""MINUTO"",
    ""COMUNE"",
    ""TORO"",
    ""LAVORO""
  ],
  ""explanation"": [
    ""Mercato aperto"",
    ""Mercato al minuto"",
    ""Mercato comune europeo"",
    ""Mercato Toro (segno che il mercato è in salita)"",
    ""Mercato del lavoro""
  ],
  ""solution"": ""MERCATO""
}
```","['APERTO', 'MINUTO', 'COMUNE', 'TORO', 'LAVORO']","['Mercato aperto', 'Mercato al minuto', 'Mercato comune europeo', 'Mercato Toro (segno che il mercato è in salita)', 'Mercato del lavoro']",MERCATO
La Ghigliottina - L'EreditÃ  16/11/2024',Rai,16/11/2024,https://www.youtube.com/watch?v=NhXTlWDAXI8,16-11-2024.jpg,"PIEDE,SGUARDO,DIRETTO,APRIRE,TIRO,160.000","```json
{
  ""clue"": [
    ""PIEDE"",
    ""SGUARDO"",
    ""DIRETTO"",
    ""APRIRE"",
    ""TIRO""
  ],
  ""explanation"": [
    ""La parola 'PIEDE' è collegata al titolo di un film di Daniel Day-Lewis, 'Il mio piede sinistro'."",
    ""La parola 'SGUARDO' è collegata a 'sguardo sinistro' (un'occhiataccia)."",
    ""La parola 'DIRETTO' è collegata a 'sinistro diretto' (un colpo del pugilato)."",
    ""La parola 'APRIRE' è collegata all'atto di 'aprire un sinistro' (in riferimento all'assicurazione in caso di incidente)."",
    ""La parola 'TIRO' è collegata a 'tiro di sinistro' nel calcio o al concetto di 'tiro mancino' (inganno).""
  ],
  ""solution"": ""SINISTRO""
}
```","['PIEDE', 'SGUARDO', 'DIRETTO', 'APRIRE', 'TIRO']","[""La parola 'PIEDE' è collegata al titolo di un film di Daniel Day-Lewis, 'Il mio piede sinistro'."", ""La parola 'SGUARDO' è collegata a 'sguardo sinistro' (un'occhiataccia)."", ""La parola 'DIRETTO' è collegata a 'sinistro diretto' (un colpo del pugilato)."", ""La parola 'APRIRE' è collegata all'atto di 'aprire un sinistro' (in riferimento all'assicurazione in caso di incidente)."", ""La parola 'TIRO' è collegata a 'tiro di sinistro' nel calcio o al concetto di 'tiro mancino' (inganno).""]",SINISTRO
La Ghigliottina - L'EreditÃ  15/11/2024',Rai,15/11/2024,https://www.youtube.com/watch?v=0s-U6TXMkVA,15-11-2024.jpg,"GRUPPO,CARTA,COPPIA,PIU GRANDE,IDEA,45.000","```json
{
  ""clue"": [""GRUPPO"", ""CARTA"", ""COPPIA"", ""PIU GRANDE"", ""IDEA""],
  ""explanation"": [
    ""Regalo di gruppo: si crea un gruppo (ad esempio su chat) per organizzare un regalo."",
    ""Carta regalo: la carta usata per impacchettare i regali o la 'carta regalo' in senso generico (anche se Cristian menziona anche carta regalo per impacchettare)."",
    ""Regalo di coppia / Regalo alla coppia: una coppia può fare un unico regalo (regalo di coppia) o fare un regalo alla coppia (es. lista nozze)."",
    ""Il regalo mio più grande: riferimento alla canzone di Tiziano Ferro che contiene il verso 'il regalo mio più grande'."",
    ""Idea regalo: quando si cerca cosa regalare, si va alla ricerca di un'idea regalo.""
  ],
  ""solution"": ""REGALO""
}
```","['GRUPPO', 'CARTA', 'COPPIA', 'PIU GRANDE', 'IDEA']","['Regalo di gruppo: si crea un gruppo (ad esempio su chat) per organizzare un regalo.', ""Carta regalo: la carta usata per impacchettare i regali o la 'carta regalo' in senso generico (anche se Cristian menziona anche carta regalo per impacchettare)."", 'Regalo di coppia / Regalo alla coppia: una coppia può fare un unico regalo (regalo di coppia) o fare un regalo alla coppia (es. lista nozze).', ""Il regalo mio più grande: riferimento alla canzone di Tiziano Ferro che contiene il verso 'il regalo mio più grande'."", ""Idea regalo: quando si cerca cosa regalare, si va alla ricerca di un'idea regalo.""]",REGALO
La Ghigliottina - L'EreditÃ  14/11/2024',Rai,14/11/2024,https://www.youtube.com/watch?v=j-CI9elME2w,14-11-2024.jpg,"TERRA,FUOCO,LATINO,CAPODANNO,SCENA,46.250","```json
{
  ""clue"": [""TERRA"", ""FUOCO"", ""LATINO"", ""CAPODANNO"", ""SCENA""],
  ""explanation"": [
  ""La messa a terra di sicurezza di qualsiasi impianto elettrico."",
  ""La messa a fuoco dell'obiettivo, anche in fotografia."",
  ""Una messa in latino."",
  ""La messa di Capodanno."",
  ""La messa in scena.""
  ],
  ""solution"": ""MESSA""
}
```","['TERRA', 'FUOCO', 'LATINO', 'CAPODANNO', 'SCENA']","['La messa a terra di sicurezza di qualsiasi impianto elettrico.', ""La messa a fuoco dell'obiettivo, anche in fotografia."", 'Una messa in latino.', 'La messa di Capodanno.', 'La messa in scena.']",MESSA
La Ghigliottina - L'EreditÃ  13/11/2024',Rai,13/11/2024,https://www.youtube.com/watch?v=6X6rDBH0xU4,13-11-2024.jpg,"FORESTA,VENTO,NAZIONALE,IMMAGINI,FARI,18.125","```json
{
  ""clue"": [
    ""FORESTA"",
    ""VENTO"",
    ""NAZIONALE"",
    ""IMMAGINI"",
    ""FARI""
  ],
  ""explanation"": [
    ""foresta a galleria è quando gli alberi sono da entrambi i lati e si uniscono formando come una galleria"",
    ""galleria del vento ci sta"",
    ""galleria nazionale d'arte moderna"",
    ""galleria di immagini"",
    ""i fari si accendono quando stai entrando in una galleria""
  ],
  ""solution"": ""GALLERIA""
}
```","['FORESTA', 'VENTO', 'NAZIONALE', 'IMMAGINI', 'FARI']","['foresta a galleria è quando gli alberi sono da entrambi i lati e si uniscono formando come una galleria', 'galleria del vento ci sta', ""galleria nazionale d'arte moderna"", 'galleria di immagini', 'i fari si accendono quando stai entrando in una galleria']",GALLERIA
La Ghigliottina - L'EreditÃ  12/11/2024',Rai,12/11/2024,https://www.youtube.com/watch?v=bsq1oPike78,12-11-2024.jpg,"MEGLIO,GIOCHI,BRUCIATA,ISOLA,PECCATO,47.500","```json
{
  ""clue"": [
    ""meglio"",
    ""giochi"",
    ""bruciata"",
    ""isola"",
    ""peccato""
  ],
  ""explanation"": [
    ""La migliore gioventù (film)"",
    ""Giochi della gioventù"",
    ""Gioventù bruciata (film)"",
    ""Isola della gioventù (a Cuba)"",
    ""Peccato di gioventù""
  ],
  ""solution"": ""gioventù""
}
```","['meglio', 'giochi', 'bruciata', 'isola', 'peccato']","['La migliore gioventù (film)', 'Giochi della gioventù', 'Gioventù bruciata (film)', 'Isola della gioventù (a Cuba)', 'Peccato di gioventù']",GIOVENTÙ
La Ghigliottina - L'EreditÃ  11/11/2024',Rai,11/11/2024,https://www.youtube.com/watch?v=zklGS4JBr-Y,11-11-2024.jpg,"CONFERMA,APPARIZIONE,NATURALE,FILA,BATTUTA,22.500","```json
{
  ""clue"": [""CONFERMA"", ""APPARIZIONE"", ""NATURALE"", ""FILA"", ""BATTUTA""],
  ""explanation"": [
    ""dare conferma all'ordine (nel senso di stabilire l'ordine)"",
    ""in ordine di apparizione (degli attori)"",
    ""l'ordine naturale delle cose (come vanno naturalmente le cose)"",
    ""in ordine di fila (cioè in fila)"",
    ""l'ordine di battuta (nel tennis, stabilito dal sorteggio)""
  ],
  ""solution"": ""ORDINE""
}
```","['CONFERMA', 'APPARIZIONE', 'NATURALE', 'FILA', 'BATTUTA']","[""dare conferma all'ordine (nel senso di stabilire l'ordine)"", 'in ordine di apparizione (degli attori)', ""l'ordine naturale delle cose (come vanno naturalmente le cose)"", 'in ordine di fila (cioè in fila)', ""l'ordine di battuta (nel tennis, stabilito dal sorteggio)""]",ORDINE
La Ghigliottina - L'EreditÃ  10/11/2024',Rai,10/11/2024,https://www.youtube.com/watch?v=Jb6I99AJ6Y8,10-11-2024.jpg,"SPAZIO,SCOPO,CATTOLICA,IMPOSSIBILE,COMPIERE,77.500","```json
{
  ""clue"": [
    ""SPAZIO"",
    ""SCOPO"",
    ""CATTOLICA"",
    ""IMPOSSIBILE"",
    ""COMPIERE""
  ],
  ""explanation"": [
    ""Missione nello spazio (come le missioni Apollo)"",
    ""Lo scopo di una missione"",
    ""Missioni (spedizioni) cattoliche (es. missionari in Africa)"",
    ""Missione impossibile (riferimento al film o concetto generico)"",
    ""Missione compiuta""
  ],
  ""solution"": ""MISSIONE""
}
```","['SPAZIO', 'SCOPO', 'CATTOLICA', 'IMPOSSIBILE', 'COMPIERE']","['Missione nello spazio (come le missioni Apollo)', 'Lo scopo di una missione', 'Missioni (spedizioni) cattoliche (es. missionari in Africa)', 'Missione impossibile (riferimento al film o concetto generico)', 'Missione compiuta']",MISSIONE
