,clue,solution,spiegazione
0,"pane, gioco, testa, osso, zoccolo",duro,"1. Pane: Il pane duro è un tipo di pane che è diventato secco e difficile da masticare.
2. Gioco: Il duro del gioco si riferisce a un gioco che è difficile da vincere o che richiede abilità e strategia per avere successo.
3. Testa: La testa dura è un'espressione che descrive una persona che è testarda o che non è disposta ad ascoltare i suggerimenti o le opinioni degli altri.
4. Osso: L'osso duro si riferisce a un osso che è difficile da masticare o da mordere, come un osso di costola o di ginocchio.
5. Zoccolo: Il duro del zoccolo si riferisce alla parte dura e resistente del zoccolo di un animale, come quello di un cavallo o di una mucca.</s>"
1,"verde, nave, gioco, pomodoro, collo",bottiglia,"1. Verde: Il vetro verde è un colore comune per le bottiglie di birra e di vino.
2. Nave: Il vetro delle bottiglie può essere riciclato per creare nuovi oggetti, come le bottiglie di plastica o le bottiglie di vetro per le navi.
3. Gioco: Il gioco della bottiglia è un gioco divertente che si può giocare con un gruppo di amici, dove si fa girare una bottiglia e si deve baciare la persona a cui punta quando si ferma.
4. Pomodoro: Il pomodoro è spesso conservato in bottiglia, come il ketchup o il pomodoro tritato.
5. Collo: Il collo della bottiglia si riferisce alla parte stretta e sottile della bottiglia che si trova tra il corpo e il tappo.</s>"
2,"spalla, giacomo, 77, kessler, bugie",gambe,"1. Spalla: Le gambe della spalla si riferiscono alle due ossa che si trovano nella spalla, chiamate omero e clavicola.
2. Giacomo: Giacomo è un nome maschile che può essere abbreviato in ""Jac"", che suona simile a ""gambe"".
3. 77: Le gambe possono avere 77 muscoli, se si contano tutti i muscoli delle due gambe.
4. Kessler: Il Kessler Run è una gara di corsa a staffetta di 77 miglia che si svolge in Germania.
5. Bugie: Le bugie possono farti sentire come se avessi le gambe di burro, perché ti senti nervoso o ansioso.</s>"
3,"dita, corso, basso, spaghetti, cassa",chitarra,"1. Dita: Le dita sono una parte importante del suonare la chitarra, poiché vengono utilizzate per premere i tasti e pizzicare le corde.
2. Corso: Un corso di chitarra è un'opportunità per imparare a suonare lo strumento e sviluppare le tue abilità.
3. Basso: La chitarra basso è uno strumento musicale a corde che suona note più basse rispetto alla chitarra elettrica o acustica.
4. Spaghetti: La chitarra può essere paragonata a un piatto di spaghetti, perché entrambe hanno una forma allungata e possono essere suonate o mangiate con le dita.
5. Cassa: La cassa della chitarra si riferisce alla parte inferiore dello strumento, che produce il suono quando le corde vengono pizzicate.</s>"
4,"remo, fornaio, altare, fico d'india, elica",pala,"1. Remo: Una pala da remo è un'attrezzatura utilizzata per remare su una barca o una canoa.
2. Fornaio: Il fornaio utilizza una pala per mettere il pane in forno e per toglierlo quando è cotto.
3. Altare: Una pala da altare è un'attrezzatura utilizzata per servire il pane e il vino durante la messa.
4. Fico d'India: Il fico d'India ha una forma a pala, con foglie grandi e piatte che crescono dal gambo.
5. Elica: Una pala dell'elica è una lama che gira intorno a un asse per creare la spinta necessaria per far muovere un aereo o una nave.</s>"
5,"porta, ferrara, via, rosa, disegno",foglio,"1. Porta: Un foglio di carta può essere utilizzato come porta per proteggere una superficie da graffi o macchie.
2. Ferrara: La via delle Volte a Ferrara è una strada stretta e tortuosa, simile a un foglio di carta arrotolato.
3. Via: Un foglio di carta può essere utilizzato come via di fuga per scappare da una situazione difficile o per nascondersi.
4. Rosa: Un foglio di carta può essere utilizzato come sfondo per disegnare o dipingere una rosa.
5. Disegno: Un foglio di carta è l'attrezzatura principale per disegnare o dipingere.</s>"
6,"baseball, posta, lama, giorno, stile",piatto,"1. Baseball: Il piatto di casa è il punto in cui il battitore deve colpire la palla nel baseball.
2. Posta: Il piatto della posta è il punto in cui si trova la cassetta della posta.
3. Lama: Un piatto da macellaio è un'attrezzatura utilizzata per tagliare la carne.
4. Giorno: Il piatto del giorno è un piatto speciale offerto in un ristorante in un determinato giorno della settimana.
5. Stile: Un piatto in stile etnico è un piatto tipico di una certa cultura o paese.</s>"
7,"vino, medio, cielo, occhio, piaga",dito,"1. Vino: Il dito del vino è un bicchiere di vino a forma di dito.
2. Medio: Il dito medio è il dito medio della mano.
3. Cielo: Il dito di Dio o dito del cielo è un fenomeno meteorologico che si verifica quando un raggio di sole attraversa una nuvola e crea un'ombra a forma di dito.
4. Occhio: Il dito dell'occhio è un'espressione che si riferisce al dito che si usa per togliere un corpo estraneo dall'occhio.
5. Piaga: Il dito della piaga è un'espressione che si riferisce al dito che si usa per toccare una piaga o una ferita per verificarne la guarigione.</s>"
8,"adulto, cassano a roma, 4 novembre, vietato, golf",18,"1. Adulto: L'età adulta inizia a 18 anni.
2. Cassano a Roma: Il numero 18 è il numero di maglia del calciatore Francesco Totti, che ha giocato per la Roma.
3. 4 Novembre: Il 4 novembre è la festa dell'Unità d'Italia, che si celebra ogni anno in Italia.
4. Vietato: A 18 anni si può votare, ma è vietato votare prima di questa età.
5. Golf: Il golf ha 18 buche.</s>"
9,"latte, barba, salvare, fiocco di neve, ignorante",capra,"1. Latte: La capra produce latte.
2. Barba: La capra ha una barba.
3. Salvare: La capra può essere salvata dall'estinzione attraverso la protezione e la conservazione.
4. Fiocco di neve: La capra delle nevi ha un mantello bianco come la neve.
5. Ignorante: Una persona ignorante potrebbe non conoscere la capra o le sue caratteristiche uniche.</s>"
